p(with | about) = 0.2857142857142857
p(where | her) = 0.027777777777777776
p(then | where) = 0.14285714285714285
p(her | then) = 0.03571428571428571
p(banker | her) = 0.027777777777777776
p(or | banker) = 1.0
p(her | or) = 0.05555555555555555
p(lawyer | her) = 0.027777777777777776
p(</s> | lawyer) = 0.6666666666666666
p(is | it) = 0.16129032258064516
p(peculiarly | is) = 0.014285714285714285
p(strong | peculiarly) = 1.0
p(and | strong) = 0.3333333333333333
p(stiff | and) = 0.005
p(peculiar | stiff) = 1.0
p(that | peculiar) = 0.5
p(is | that) = 0.056179775280898875
p(the | is) = 0.08571428571428572
p(very | the) = 0.01440922190201729
p(word | very) = 0.047619047619047616
p(said | word) = 0.25
p(holmes | said) = 0.32142857142857145
p(</s> | holmes) = 0.21621621621621623
p(mademoiselle | and) = 0.005
p(s | mademoiselle) = 1.0
p(address | s) = 0.058823529411764705
p(he | address) = 0.16666666666666666
p(asked | he) = 0.024691358024691357
p(</s> | asked) = 0.6666666666666666
p(you | <s>) = 0.0449438202247191
p(have | you) = 0.1111111111111111
p(but | have) = 0.02
p(to | but) = 0.047619047619047616
p(name | to) = 0.0106951871657754
p(it | name) = 0.25
p(this | it) = 0.008064516129032258
p(photograph | this) = 0.034482758620689655
p(the | photograph) = 0.058823529411764705
p(king | the) = 0.037463976945244955
p(stared | king) = 0.07142857142857142
p(at | stared) = 1.0
p(him | at) = 0.022222222222222223
p(amazement | in) = 0.008130081300813009
p(</s> | amazement) = 1.0
p(in | <s>) = 0.011235955056179775
p(two | in) = 0.008130081300813009
p(hours | two) = 0.1111111111111111
p(we | hours) = 1.0
p(must | we) = 0.07142857142857142
p(on | be) = 0.046511627906976744
p(the | on) = 0.5
p(action | of) = 0.005376344086021506
p(</s> | action) = 1.0
p(would | you) = 0.010101010101010102
p(certainly | would) = 0.1111111111111111
p(have | certainly) = 0.25
p(been | have) = 0.2
p(burned | been) = 0.038461538461538464
p(had | burned) = 1.0
p(you | had) = 0.0196078431372549
p(lived | you) = 0.010101010101010102
p(a | lived) = 1.0
p(few | a) = 0.011111111111111112
p(centuries | few) = 0.3333333333333333
p(ago | centuries) = 1.0
p(</s> | ago) = 0.6666666666666666
p(a | <s>) = 0.019662921348314606
p(entered | man) = 0.047619047619047616
p(who | entered) = 1.0
p(could | who) = 0.041666666666666664
p(hardly | could) = 0.07142857142857142
p(have | hardly) = 0.3333333333333333
p(less | been) = 0.038461538461538464
p(than | less) = 0.5
p(six | than) = 0.1
p(feet | six) = 0.25
p(six | feet) = 1.0
p(inches | six) = 0.25
p(in | inches) = 1.0
p(height | in) = 0.008130081300813009
p(with | height) = 1.0
p(the | with) = 0.15384615384615385
p(chest | the) = 0.002881844380403458
p(and | chest) = 1.0
p(limbs | and) = 0.005
p(of | limbs) = 1.0
p(a | of) = 0.053763440860215055
